step,learn/loss,learn/td_abs_mean,learn/grad_norm,learn/grad_steps,learn/nonfinite_streak,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
66,0.6216933131217957,0.5210407972335815,27.77773094177246,1,0,,,,,,,,,,,,,,,
67,0.23803430795669556,0.3074756860733032,13.887003898620605,2,0,,,,,,,,,,,,,,,
68,0.2421468049287796,0.2996181547641754,13.541189193725586,3,0,,,,,,,,,,,,,,,
69,0.486986368894577,0.45161449909210205,16.191720962524414,4,0,,,,,,,,,,,,,,,
70,0.09156161546707153,0.17910873889923096,4.258029460906982,5,0,,,,,,,,,,,,,,,
71,0.18482229113578796,0.2490207552909851,11.976778030395508,6,0,,,,,,,,,,,,,,,
72,0.09102584421634674,0.16556283831596375,5.314497947692871,7,0,,,,,,,,,,,,,,,
73,0.24479401111602783,0.32220444083213806,14.434195518493652,8,0,,,,,,,,,,,,,,,
74,0.14021256566047668,0.21315057575702667,6.406079292297363,9,0,,,,,,,,,,,,,,,
75,0.10821455717086792,0.18366312980651855,2.9430227279663086,10,0,,,,,,,,,,,,,,,
76,0.18384331464767456,0.2353057563304901,8.129920959472656,11,0,,,,,,,,,,,,,,,
77,0.24777278304100037,0.28000330924987793,15.312581062316895,12,0,,,,,,,,,,,,,,,
78,0.10670799016952515,0.16633078455924988,4.114706516265869,13,0,,,,,,,,,,,,,,,
79,0.32908621430397034,0.34223246574401855,17.440135955810547,14,0,,,,,,,,,,,,,,,
80,0.25741520524024963,0.31103062629699707,16.014320373535156,15,0,,,,,,,,,,,,,,,
81,0.24932992458343506,0.3193240165710449,13.684784889221191,16,0,,,,,,,,,,,,,,,
82,0.3358619809150696,0.31950581073760986,16.87640380859375,17,0,,,,,,,,,,,,,,,
83,0.1852165311574936,0.25152522325515747,4.425819396972656,18,0,,,,,,,,,,,,,,,
84,0.5148860216140747,0.4149988889694214,21.689170837402344,19,0,,,,,,,,,,,,,,,
85,0.33582377433776855,0.35921573638916016,15.434643745422363,20,0,,,,,,,,,,,,,,,
86,0.4391605257987976,0.39234113693237305,16.495437622070312,21,0,,,,,,,,,,,,,,,
87,1.3533676862716675,0.7621606588363647,31.91359519958496,22,0,,,,,,,,,,,,,,,
88,1.808807373046875,0.8652198910713196,33.84723663330078,23,0,,,,,,,,,,,,,,,
89,0.3989112377166748,0.3487924635410309,13.73300838470459,24,0,,,,,,,,,,,,,,,
90,0.5189123749732971,0.44984108209609985,26.553489685058594,25,0,,,,,,,,,,,,,,,
91,1.0210189819335938,0.6702843308448792,33.95061492919922,26,0,,,,,,,,,,,,,,,
92,0.4045780897140503,0.417797714471817,17.179807662963867,27,0,,,,,,,,,,,,,,,
93,0.1706080138683319,0.2710205912590027,4.788193225860596,28,0,,,,,,,,,,,,,,,
94,0.46481335163116455,0.37588757276535034,18.276317596435547,29,0,,,,,,,,,,,,,,,
95,0.1661461740732193,0.26909732818603516,2.4890220165252686,30,0,,,,,,,,,,,,,,,
96,0.15297213196754456,0.25821685791015625,2.5502288341522217,31,0,,,,,,,,,,,,,,,
97,0.25016897916793823,0.32121533155441284,12.356831550598145,32,0,,,,,,,,,,,,,,,
98,0.22080914676189423,0.23906312882900238,7.6641740798950195,33,0,,,,,,,,,,,,,,,
99,0.7151463031768799,0.5835682153701782,24.13886833190918,34,0,,,,,,,,,,,,,,,
100,0.3483680486679077,0.3822065591812134,15.845401763916016,35,0,,,,,,,,,,,,,,,
101,0.6437716484069824,0.5250787734985352,26.476560592651367,36,0,,,,,,,,,,,,,,,
102,0.5783320069313049,0.4825383126735687,22.770559310913086,37,0,,,,,,,,,,,,,,,
103,2.9189610481262207,1.291365385055542,41.44222640991211,38,0,,,,,,,,,,,,,,,
104,0.38979238271713257,0.3529124855995178,14.9389066696167,39,0,,,,,,,,,,,,,,,
105,1.5107990503311157,0.8548216819763184,32.11281204223633,40,0,,,,,,,,,,,,,,,
106,0.5550887584686279,0.4696083962917328,18.57512855529785,41,0,,,,,,,,,,,,,,,
107,0.23533853888511658,0.27052468061447144,12.067211151123047,42,0,,,,,,,,,,,,,,,
108,0.5739040970802307,0.4603061079978943,16.256322860717773,43,0,,,,,,,,,,,,,,,
109,0.17540720105171204,0.2841014862060547,8.82856273651123,44,0,,,,,,,,,,,,,,,
110,2.911058187484741,1.273916482925415,47.62884521484375,45,0,,,,,,,,,,,,,,,
111,0.45203015208244324,0.3781229555606842,13.00940990447998,46,0,,,,,,,,,,,,,,,
112,0.2811015844345093,0.3336612582206726,12.9212646484375,47,0,,,,,,,,,,,,,,,
113,0.9310322999954224,0.5933811068534851,26.89272689819336,48,0,,,,,,,,,,,,,,,
114,1.2824788093566895,0.7546669244766235,34.93392562866211,49,0,,,,,,,,,,,,,,,
115,0.28069019317626953,0.2444663792848587,4.272131443023682,50,0,,,,,,,,,,,,,,,
116,0.20080547034740448,0.2916077971458435,6.562719821929932,51,0,,,,,,,,,,,,,,,
117,0.21285834908485413,0.2333875298500061,8.387788772583008,52,0,,,,,,,,,,,,,,,
118,1.2310686111450195,0.7607883810997009,38.97014236450195,53,0,,,,,,,,,,,,,,,
119,0.9606597423553467,0.6368752717971802,18.408855438232422,54,0,,,,,,,,,,,,,,,
120,1.7390544414520264,0.9294832944869995,43.3036003112793,55,0,,,,,,,,,,,,,,,
121,0.21243759989738464,0.29435020685195923,3.108814239501953,56,0,,,,,,,,,,,,,,,
122,0.2966553866863251,0.31707221269607544,6.232137680053711,57,0,,,,,,,,,,,,,,,
123,0.5400910973548889,0.43059369921684265,18.680335998535156,58,0,,,,,,,,,,,,,,,
124,1.5732671022415161,0.8762084245681763,37.08745574951172,59,0,,,,,,,,,,,,,,,
