step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
7237,-6.9198100131491,263,-6.9198100131491,263,7237,0,7231,0.36155,1,0.1801899868509044,0.0,-7.100000000000004,0.0,0.0,-6.9198100131491,1.0
7270,-29.789039275625406,439,-29.789039275625406,439,7270,0,7264,0.3632,3,0.11096072437452234,0.0,-29.899999999999928,0.0,0.0,-29.789039275625406,1.0
7336,-10.89301418926405,236,-10.89301418926405,236,7336,0,7330,0.3665,2,0.10698581073595129,0.0,-11.000000000000002,0.0,0.0,-10.89301418926405,1.0
8203,-14.730842102133707,234,-14.730842102133707,234,8203,0,8197,0.40985,3,0.06915789786629054,0.0,-14.799999999999997,0.0,0.0,-14.730842102133707,1.0
8226,-10.794533084040106,258,-10.794533084040106,258,8226,0,8220,0.411,1,0.15546691595989726,0.0,-10.950000000000003,0.0,0.0,-10.794533084040106,1.0
8236,-2.446748154847518,287,-2.446748154847518,287,8236,0,8232,0.4116,0,0.15325184515248172,0.0,-2.5999999999999996,0.0,0.0,-2.446748154847518,1.0
8468,-1.986843529328056,264,-1.986843529328056,264,8468,0,8462,0.4231,2,0.11315647067194398,0.0,-2.1,0.0,0.0,-1.986843529328056,1.0
9452,-7.9487478536522955,257,-7.9487478536522955,257,9452,0,9446,0.4723,2,0.10125214634770932,0.0,-8.050000000000004,0.0,0.0,-7.9487478536522955,1.0
9557,-7.55152774139073,340,-7.55152774139073,340,9557,0,9551,0.47755,0,0.14847225860927415,0.0,-7.7000000000000055,0.0,0.0,-7.55152774139073,1.0
9582,-20.836648855250772,343,-20.836648855250772,343,9582,0,9577,0.47885,1,0.11335114474918531,0.0,-20.949999999999957,0.0,0.0,-20.836648855250772,1.0
9624,-14.008504289212429,343,-14.008504289212429,343,9624,0,9618,0.4809,3,0.09149571078756581,0.0,-14.099999999999994,0.0,0.0,-14.008504289212429,1.0
10354,-5.858839080478837,243,-5.858839080478837,243,10354,0,10348,0.5174,2,0.09116091952116592,0.0,-5.950000000000003,0.0,0.0,-5.858839080478837,1.0
10665,-18.502576189870386,308,-18.502576189870386,308,10665,0,10659,0.53295,1,0.14742381012958028,0.0,-18.649999999999963,0.0,0.0,-18.502576189870386,1.0
10797,-2.172068620598834,265,-2.172068620598834,265,10797,0,10791,0.53955,0,0.1779313794011655,0.0,-2.3499999999999996,0.0,0.0,-2.172068620598834,1.0
10946,-13.01961814175481,306,-13.01961814175481,306,10946,0,10940,0.547,3,0.1803818582451862,0.0,-13.199999999999996,0.0,0.0,-13.01961814175481,1.0
11267,-23.56901444484872,236,-23.56901444484872,236,11267,0,11261,0.56305,2,0.08098555515123451,0.0,-23.649999999999952,0.0,0.0,-23.56901444484872,1.0
11666,-7.056207579902986,235,-7.056207579902986,235,11666,0,11660,0.583,1,0.09379242009701937,0.0,-7.150000000000005,0.0,0.0,-7.056207579902986,1.0
11838,-21.082294736696294,259,-21.082294736696294,259,11838,0,11832,0.5916,0,0.11770526330367378,0.0,-21.199999999999967,0.0,0.0,-21.082294736696294,1.0
11985,-18.259934691885224,252,-18.259934691885224,252,11985,0,11979,0.59895,3,0.0900653081147567,0.0,-18.34999999999998,0.0,0.0,-18.259934691885224,1.0
12187,-8.655879145912508,232,-8.655879145912508,232,12187,0,12181,0.60905,2,0.09412085408749789,0.0,-8.750000000000005,0.0,0.0,-8.655879145912508,1.0
12533,-20.58191999186637,247,-20.58191999186637,247,12533,0,12527,0.62635,1,0.118080008133598,0.0,-20.69999999999997,0.0,0.0,-20.58191999186637,1.0
12725,-6.179074537194296,225,-6.179074537194296,225,12725,0,12719,0.63595,0,0.07092546280570652,0.0,-6.250000000000003,0.0,0.0,-6.179074537194296,1.0
12967,-10.179436738055685,223,-10.179436738055685,223,12967,0,12961,0.64805,3,0.0705632619443147,0.0,-10.249999999999998,0.0,0.0,-10.179436738055685,1.0
13133,-7.707247066497808,239,-7.707247066497808,239,13133,0,13127,0.65635,2,0.09275293350219727,0.0,-7.800000000000005,0.0,0.0,-7.707247066497808,1.0
13431,-23.919116218069284,249,-23.919116218069284,249,13431,0,13425,0.67125,1,0.13088378193067468,0.0,-24.049999999999958,0.0,0.0,-23.919116218069284,1.0
13948,-12.848317568405818,326,-12.848317568405818,326,13948,0,13942,0.6971,0,0.20168243159418522,0.0,-13.050000000000002,0.0,0.0,-12.848317568405818,1.0
14065,-15.15876912531645,248,-15.15876912531645,248,14065,0,14059,0.70295,2,0.09123087468354597,0.0,-15.249999999999995,0.0,0.0,-15.15876912531645,1.0
14320,-5.706606114014338,233,-5.706606114014338,233,14320,0,14314,0.7157,1,0.0933938859856647,0.0,-5.800000000000003,0.0,0.0,-5.706606114014338,1.0
14786,-6.493031474984212,240,-6.493031474984212,240,14786,0,14780,0.739,0,0.10696852501578953,0.0,-6.600000000000002,0.0,0.0,-6.493031474984212,1.0
15153,-9.492379739263786,284,-9.492379739263786,284,15153,0,15147,0.75735,2,0.20762026073621667,0.0,-9.700000000000001,0.0,0.0,-9.492379739263786,1.0
15299,-5.0688720111017656,233,-5.0688720111017656,233,15299,0,15293,0.76465,1,0.08112798889823582,0.0,-5.150000000000001,0.0,0.0,-5.0688720111017656,1.0
15385,-5.789754971835927,513,-5.789754971835927,513,15385,0,15379,0.76895,3,0.7602450281640762,0.0,-6.550000000000003,0.0,0.0,-5.789754971835927,1.0
15701,-18.430818391219397,239,-18.430818391219397,239,15701,0,15695,0.78475,0,0.11918160878057064,0.0,-18.549999999999965,0.0,0.0,-18.430818391219397,1.0
16221,-5.368700348895532,232,-5.368700348895532,232,16221,0,16215,0.81075,1,0.08129965110447096,0.0,-5.450000000000003,0.0,0.0,-5.368700348895532,1.0
