step,learn/loss,learn/td_abs_mean,learn/grad_norm,learn/grad_steps,learn/nonfinite_streak,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
68,0.23127323389053345,0.22137556970119476,10.040395736694336,1,0,,,,,,,,,,,,,,,,
68,0.09122459590435028,0.1796007752418518,4.987432956695557,2,0,,,,,,,,,,,,,,,,
68,0.37363705039024353,0.3722239136695862,19.047161102294922,3,0,,,,,,,,,,,,,,,,
68,0.22639894485473633,0.2763030230998993,12.257757186889648,4,0,,,,,,,,,,,,,,,,
68,0.15703661739826202,0.23780475556850433,8.46167278289795,5,0,,,,,,,,,,,,,,,,
68,0.5842622518539429,0.4738054871559143,21.880189895629883,6,0,,,,,,,,,,,,,,,,
68,0.5626188516616821,0.4733666479587555,25.49467658996582,7,0,,,,,,,,,,,,,,,,
68,0.1244838535785675,0.200431689620018,3.216140031814575,8,0,,,,,,,,,,,,,,,,
68,0.12710115313529968,0.20330196619033813,2.528787612915039,9,0,,,,,,,,,,,,,,,,
68,0.2847861349582672,0.3115859031677246,10.038525581359863,10,0,,,,,,,,,,,,,,,,
68,0.30570903420448303,0.3117370009422302,8.103935241699219,11,0,,,,,,,,,,,,,,,,
68,0.25396737456321716,0.2898557186126709,3.616616725921631,12,0,,,,,,,,,,,,,,,,
68,0.591241180896759,0.47879841923713684,20.248336791992188,13,0,,,,,,,,,,,,,,,,
68,0.5411563515663147,0.4376786947250366,20.937177658081055,14,0,,,,,,,,,,,,,,,,
68,0.6674295663833618,0.5406392216682434,21.44144630432129,15,0,,,,,,,,,,,,,,,,
68,0.2657500207424164,0.29074782133102417,6.2523322105407715,16,0,,,,,,,,,,,,,,,,
68,0.29284483194351196,0.31740719079971313,4.326858043670654,17,0,,,,,,,,,,,,,,,,
68,1.5601203441619873,0.7966779470443726,39.41206741333008,18,0,,,,,,,,,,,,,,,,
68,0.26508259773254395,0.29174843430519104,5.2115349769592285,19,0,,,,,,,,,,,,,,,,
68,0.3191901445388794,0.3210170865058899,6.073292255401611,20,0,,,,,,,,,,,,,,,,
68,0.32923486828804016,0.3083464503288269,3.681900978088379,21,0,,,,,,,,,,,,,,,,
68,0.7320237159729004,0.49293145537376404,22.204069137573242,22,0,,,,,,,,,,,,,,,,
68,1.1926571130752563,0.6694594621658325,32.840938568115234,23,0,,,,,,,,,,,,,,,,
68,0.2684401571750641,0.3049449324607849,6.44007682800293,24,0,,,,,,,,,,,,,,,,
68,0.5583377480506897,0.40109550952911377,8.236297607421875,25,0,,,,,,,,,,,,,,,,
68,0.3995973765850067,0.35001033544540405,8.194524765014648,26,0,,,,,,,,,,,,,,,,
68,1.0284795761108398,0.5623606443405151,18.366716384887695,27,0,,,,,,,,,,,,,,,,
68,0.33088061213493347,0.31995701789855957,5.209056377410889,28,0,,,,,,,,,,,,,,,,
68,0.361760675907135,0.33858397603034973,5.310496807098389,29,0,,,,,,,,,,,,,,,,
68,1.0489835739135742,0.6644891500473022,26.20238494873047,30,0,,,,,,,,,,,,,,,,
68,0.5187662839889526,0.43098729848861694,5.9867844581604,31,0,,,,,,,,,,,,,,,,
68,0.32215428352355957,0.3568728268146515,7.036800384521484,32,0,,,,,,,,,,,,,,,,
68,0.25571829080581665,0.28511327505111694,6.457022190093994,33,0,,,,,,,,,,,,,,,,
68,0.35053229331970215,0.36275535821914673,3.641072988510132,34,0,,,,,,,,,,,,,,,,
68,0.41155898571014404,0.37514185905456543,8.248233795166016,35,0,,,,,,,,,,,,,,,,
68,0.3246336281299591,0.34972935914993286,4.747412204742432,36,0,,,,,,,,,,,,,,,,
68,0.21099647879600525,0.27571892738342285,4.8439483642578125,37,0,,,,,,,,,,,,,,,,
68,1.7831919193267822,0.9012143611907959,39.91651916503906,38,0,,,,,,,,,,,,,,,,
68,1.0832171440124512,0.6516059637069702,28.094799041748047,39,0,,,,,,,,,,,,,,,,
68,0.6933279037475586,0.5242922306060791,21.35040855407715,40,0,,,,,,,,,,,,,,,,
68,0.30753540992736816,0.3596889078617096,4.21495246887207,41,0,,,,,,,,,,,,,,,,
68,0.699457049369812,0.5055172443389893,20.42972755432129,42,0,,,,,,,,,,,,,,,,
68,0.8401947021484375,0.5910075902938843,22.502424240112305,43,0,,,,,,,,,,,,,,,,
68,0.1671198606491089,0.2370469570159912,1.3782579898834229,44,0,,,,,,,,,,,,,,,,
68,0.22347021102905273,0.30275577306747437,3.8065295219421387,45,0,,,,,,,,,,,,,,,,
68,0.17878387868404388,0.2566002607345581,4.34262752532959,46,0,,,,,,,,,,,,,,,,
68,0.23127424716949463,0.2856523096561432,2.754422187805176,47,0,,,,,,,,,,,,,,,,
68,0.32357046008110046,0.3305944800376892,7.904128074645996,48,0,,,,,,,,,,,,,,,,
68,0.8323984146118164,0.6220217943191528,21.859708786010742,49,0,,,,,,,,,,,,,,,,
68,0.3258218765258789,0.36642223596572876,4.613272666931152,50,0,,,,,,,,,,,,,,,,
68,1.0802921056747437,0.7270029783248901,29.718952178955078,51,0,,,,,,,,,,,,,,,,
68,0.2892841100692749,0.2959460914134979,5.470238208770752,52,0,,,,,,,,,,,,,,,,
68,1.2311885356903076,0.7555016279220581,29.555477142333984,53,0,,,,,,,,,,,,,,,,
68,0.2374717742204666,0.29770129919052124,2.922346353530884,54,0,,,,,,,,,,,,,,,,
68,0.22200362384319305,0.29113149642944336,2.931795835494995,55,0,,,,,,,,,,,,,,,,
68,0.19977250695228577,0.2712576389312744,4.393280506134033,56,0,,,,,,,,,,,,,,,,
68,0.2969703674316406,0.31892815232276917,3.513481616973877,57,0,,,,,,,,,,,,,,,,
68,0.9973037242889404,0.6185882091522217,26.329978942871094,58,0,,,,,,,,,,,,,,,,
68,0.23700550198554993,0.29454994201660156,5.232315540313721,59,0,,,,,,,,,,,,,,,,
68,0.2913196086883545,0.33463937044143677,9.196118354797363,60,0,,,,,,,,,,,,,,,,
68,1.0276679992675781,0.6516421437263489,25.631732940673828,61,0,,,,,,,,,,,,,,,,
68,0.23926368355751038,0.27129068970680237,2.9674153327941895,62,0,,,,,,,,,,,,,,,,
68,0.9251877665519714,0.6370333433151245,28.11333465576172,63,0,,,,,,,,,,,,,,,,
