step,episode/return,episode/length,track/luigi_circuit_tt/episode_return,track/luigi_circuit_tt/episode_length,env_steps,grad_steps,replay/capacity,replay/fill_ratio,env/id,reward/checkpoint,reward/offroad,reward/wall,reward/finish,reward/position,reward/total,track_sampler/luigi_circuit_tt/weight
8072,-9.030792459239137,231,-9.030792459239137,231,8072,0,8066,0.04033,3,0.06920754076086957,0.0,-9.100000000000007,0.0,0.0,-9.030792459239137,1.0
8182,-14.832972648040101,248,-14.832972648040101,248,8182,0,8176,0.04088,1,0.11702735195989195,0.0,-14.949999999999992,0.0,0.0,-14.832972648040101,1.0
8809,-1.4347171735348907,283,-1.4347171735348907,283,8809,0,8803,0.044015,0,0.1652828264651091,0.0,-1.5999999999999999,0.0,0.0,-1.4347171735348907,1.0
8835,-26.50939931935843,251,-26.50939931935843,251,8835,0,8830,0.04415,2,0.09060068064150605,0.0,-26.599999999999934,0.0,0.0,-26.50939931935843,1.0
9204,-6.415480265907623,293,-6.415480265907623,293,9204,0,9198,0.04599,3,0.23451973409238067,0.0,-6.650000000000004,0.0,0.0,-6.415480265907623,1.0
9870,-10.086515580229142,268,-10.086515580229142,268,9870,0,9864,0.04932,0,0.11348441977086274,0.0,-10.200000000000005,0.0,0.0,-10.086515580229142,1.0
9915,-12.686628869927441,282,-12.686628869927441,282,9915,0,9909,0.049545,2,0.11337113007255221,0.0,-12.799999999999992,0.0,0.0,-12.686628869927441,1.0
10140,-20.643311138318907,237,-20.643311138318907,237,10140,0,10134,0.05067,3,0.10668886168106743,0.0,-20.749999999999975,0.0,0.0,-20.643311138318907,1.0
10510,0.2468789191038712,517,0.2468789191038712,517,10510,0,10504,0.05252,1,0.2468789191038712,0.0,0.0,0.0,0.0,0.2468789191038712,1.0
10765,-7.792768471925159,232,-7.792768471925159,232,10765,0,10759,0.053795,0,0.10723152807484501,0.0,-7.900000000000005,0.0,0.0,-7.792768471925159,1.0
10952,-0.5946816930356233,260,-0.5946816930356233,260,10952,0,10946,0.05473,2,0.1553183069643767,0.0,-0.75,0.0,0.0,-0.5946816930356233,1.0
11169,-1.294788485153862,246,-1.294788485153862,246,11169,0,11163,0.055815,3,0.10521151484613835,0.0,-1.4000000000000004,0.0,0.0,-1.294788485153862,1.0
11472,-22.11207807557475,299,-22.11207807557475,299,11472,0,11466,0.05733,1,0.18792192442520805,0.0,-22.299999999999958,0.0,0.0,-22.11207807557475,1.0
11968,-9.423991447117022,287,-9.423991447117022,287,11968,0,11962,0.05981,2,0.22600855288298233,0.0,-9.650000000000004,0.0,0.0,-9.423991447117022,1.0
12091,-4.279262362604557,221,-4.279262362604557,221,12091,0,12085,0.060425,3,0.07073763739544411,0.0,-4.3500000000000005,0.0,0.0,-4.279262362604557,1.0
12727,-14.429352465007604,220,-14.429352465007604,220,12727,0,12721,0.063605,2,0.07064753499238388,0.0,-14.499999999999988,0.0,0.0,-14.429352465007604,1.0
12928,-6.449012003691305,330,-6.449012003691305,330,12928,0,12922,0.06461,1,0.15098799630869988,0.0,-6.600000000000005,0.0,0.0,-6.449012003691305,1.0
12993,-11.431570485239444,244,-11.431570485239444,244,12993,0,12987,0.064935,3,0.11842951476055644,0.0,-11.549999999999999,0.0,0.0,-11.431570485239444,1.0
13610,-15.358867889901866,618,-15.358867889901866,618,13610,0,13604,0.06802,0,0.9411321100981347,0.0,-16.3,0.0,0.0,-15.358867889901866,1.0
13822,-17.10520057006503,228,-17.10520057006503,228,13822,0,13816,0.06908,3,0.09479942993495775,0.0,-17.19999999999999,0.0,0.0,-17.10520057006503,1.0
14079,-3.787109250856483,339,-3.787109250856483,339,14079,0,14073,0.070365,2,0.21289074914351752,0.0,-4.0,0.0,0.0,-3.787109250856483,1.0
14081,-5.2921596022896145,286,-5.2921596022896145,286,14081,0,14077,0.070385,1,0.20784039771038554,0.0,-5.500000000000001,0.0,0.0,-5.2921596022896145,1.0
14635,-9.87957797805123,238,-9.87957797805123,238,14635,0,14629,0.073145,0,0.12042202194877294,0.0,-10.000000000000004,0.0,0.0,-9.87957797805123,1.0
14866,-18.62911819474591,219,-18.62911819474591,219,14866,0,14860,0.0743,2,0.07088180525406548,0.0,-18.699999999999974,0.0,0.0,-18.62911819474591,1.0
14874,-22.953047113833172,285,-22.953047113833172,285,14874,0,14870,0.07435,3,0.1969528861667799,0.0,-23.149999999999952,0.0,0.0,-22.953047113833172,1.0
15156,-4.667908085947453,229,-4.667908085947453,229,15156,0,15150,0.07575,1,0.08209191405254862,0.0,-4.750000000000002,0.0,0.0,-4.667908085947453,1.0
15441,-26.03001823690659,226,-26.03001823690659,226,15441,0,15435,0.077175,0,0.06998176309336786,0.0,-26.099999999999955,0.0,0.0,-26.03001823690659,1.0
15847,-6.056263286093008,253,-6.056263286093008,253,15847,0,15841,0.079205,2,0.14373671390699305,0.0,-6.200000000000001,0.0,0.0,-6.056263286093008,1.0
16189,-8.50933978959789,246,-8.50933978959789,246,16189,0,16183,0.080915,1,0.09066021040211553,0.0,-8.600000000000005,0.0,0.0,-8.50933978959789,1.0
16326,-21.70760562822091,238,-21.70760562822091,238,16326,0,16320,0.0816,0,0.09239437177906865,0.0,-21.79999999999998,0.0,0.0,-21.70760562822091,1.0
16331,-26.7271769871504,345,-26.7271769871504,345,16331,0,16327,0.081635,3,0.12282301284955895,0.0,-26.84999999999996,0.0,0.0,-26.7271769871504,1.0
16981,-2.6984392645462703,286,-2.6984392645462703,286,16981,0,16975,0.084875,2,0.20156073545373004,0.0,-2.9000000000000004,0.0,0.0,-2.6984392645462703,1.0
17106,-9.993846993073173,244,-9.993846993073173,244,17106,0,17100,0.0855,1,0.10615300692682682,0.0,-10.1,0.0,0.0,-9.993846993073173,1.0
17282,-16.98124716410428,240,-16.98124716410428,240,17282,0,17276,0.08638,0,0.11875283589570419,0.0,-17.099999999999984,0.0,0.0,-16.98124716410428,1.0
17515,-8.657269067266718,262,-8.657269067266718,262,17515,0,17509,0.087545,3,0.14273093273328696,0.0,-8.800000000000002,0.0,0.0,-8.657269067266718,1.0
17913,-12.034510704206385,260,-12.034510704206385,260,17913,0,17907,0.089535,2,0.16548929579361626,0.0,-12.200000000000001,0.0,0.0,-12.034510704206385,1.0
18171,-26.7046515623175,228,-26.7046515623175,228,18171,0,18165,0.090825,0,0.09534843768244204,0.0,-26.799999999999944,0.0,0.0,-26.7046515623175,1.0
18543,-10.848703894739568,257,-10.848703894739568,257,18543,0,18537,0.092685,3,0.10129610526043437,0.0,-10.950000000000003,0.0,0.0,-10.848703894739568,1.0
18683,-27.2234877825612,349,-27.2234877825612,349,18683,0,18677,0.093385,1,0.1265122174387393,0.0,-27.349999999999937,0.0,0.0,-27.2234877825612,1.0
18745,-21.133101360818582,267,-21.133101360818582,267,18745,0,18739,0.093695,2,0.11689863918138588,0.0,-21.249999999999968,0.0,0.0,-21.133101360818582,1.0
19568,-13.542364973980446,233,-13.542364973980446,233,19568,0,19562,0.09781,3,0.10763502601955247,0.0,-13.649999999999999,0.0,0.0,-13.542364973980446,1.0
19597,-9.12923344023332,239,-9.12923344023332,239,19597,0,19591,0.097955,1,0.1207665597666865,0.0,-9.250000000000005,0.0,0.0,-9.12923344023332,1.0
19615,-16.158812142164802,246,-16.158812142164802,246,19615,0,19610,0.09805,2,0.09118785783518915,0.0,-16.24999999999999,0.0,0.0,-16.158812142164802,1.0
19635,-20.262120998216677,316,-20.262120998216677,316,19635,0,19629,0.098145,0,0.13787900178328805,0.0,-20.399999999999963,0.0,0.0,-20.262120998216677,1.0
20568,-23.967580270186673,232,-23.967580270186673,232,20568,0,20562,0.10281,0,0.0824197298132855,0.0,-24.049999999999958,0.0,0.0,-23.967580270186673,1.0
20700,-21.48516219583928,296,-21.48516219583928,296,20700,0,20694,0.10347,2,0.11483780416068823,0.0,-21.59999999999997,0.0,0.0,-21.48516219583928,1.0
20703,-6.895243604494181,266,-6.895243604494181,266,20703,0,20699,0.103495,3,0.1547563955058222,0.0,-7.050000000000003,0.0,0.0,-6.895243604494181,1.0
20715,-16.255511107320356,270,-16.255511107320356,270,20715,0,20712,0.10356,1,0.1444888926796291,0.0,-16.399999999999984,0.0,0.0,-16.255511107320356,1.0
21487,-9.657171823916233,238,-9.657171823916233,238,21487,0,21481,0.107405,0,0.09282817608377207,0.0,-9.750000000000005,0.0,0.0,-9.657171823916233,1.0
21600,-20.358167652378878,244,-20.358167652378878,244,21600,0,21594,0.10797,2,0.09183234762108844,0.0,-20.449999999999967,0.0,0.0,-20.358167652378878,1.0
21750,-1.3554955705559772,232,-1.3554955705559772,232,21750,0,21744,0.10872,1,0.09450442944402279,0.0,-1.4500000000000002,0.0,0.0,-1.3554955705559772,1.0
22084,-12.832520101256994,348,-12.832520101256994,348,22084,0,22078,0.11039,3,0.2174798987430075,0.0,-13.05,0.0,0.0,-12.832520101256994,1.0
22516,-14.8565481800411,237,-14.8565481800411,237,22516,0,22510,0.11255,2,0.09345181995889414,0.0,-14.949999999999994,0.0,0.0,-14.8565481800411,1.0
22652,-23.029133033752398,300,-23.029133033752398,300,22652,0,22646,0.11323,0,0.2708669662475586,0.0,-23.299999999999958,0.0,0.0,-23.029133033752398,1.0
22656,-16.37931439092884,219,-16.37931439092884,219,22656,0,22652,0.11326,1,0.07068560907115107,0.0,-16.449999999999992,0.0,0.0,-16.37931439092884,1.0
23140,-19.320655694318827,256,-19.320655694318827,256,23140,0,23134,0.11567,3,0.07934430568114571,0.0,-19.39999999999997,0.0,0.0,-19.320655694318827,1.0
23463,-2.483386211229407,265,-2.483386211229407,265,23463,0,23457,0.117285,2,0.16661378877059274,0.0,-2.65,0.0,0.0,-2.483386211229407,1.0
23533,-11.054919012484348,230,-11.054919012484348,230,23533,0,23527,0.117635,0,0.09508098751565683,0.0,-11.150000000000004,0.0,0.0,-11.054919012484348,1.0
24016,-12.810577064928795,299,-12.810577064928795,299,24016,0,24010,0.12005,1,0.18942293507119887,0.0,-12.999999999999993,0.0,0.0,-12.810577064928795,1.0
24109,-25.80840378495915,244,-25.80840378495915,244,24109,0,24103,0.120515,3,0.09159621504078741,0.0,-25.899999999999938,0.0,0.0,-25.80840378495915,1.0
24338,-10.978462535692298,216,-10.978462535692298,216,24338,0,24332,0.12166,2,0.07153746430770211,0.0,-11.05,0.0,0.0,-10.978462535692298,1.0
24447,-24.30723377576076,243,-24.30723377576076,243,24447,0,24441,0.122205,0,0.0927662242391835,0.0,-24.399999999999945,0.0,0.0,-24.30723377576076,1.0
24986,-15.392080617490004,231,-15.392080617490004,231,24986,0,24980,0.1249,1,0.10791938250997792,0.0,-15.499999999999982,0.0,0.0,-15.392080617490004,1.0
25242,-20.129161688182627,223,-20.129161688182627,223,25242,0,25236,0.12618,0,0.07083831181733505,0.0,-20.199999999999964,0.0,0.0,-20.129161688182627,1.0
25250,-10.230708179639736,269,-10.230708179639736,269,25250,0,25246,0.12623,3,0.16929182036026666,0.0,-10.400000000000002,0.0,0.0,-10.230708179639736,1.0
25402,-9.80641149836002,250,-9.80641149836002,250,25402,0,25396,0.12698,2,0.14358850163998813,0.0,-9.950000000000008,0.0,0.0,-9.80641149836002,1.0
